bookName,author,academicLevel,language,categoryName,numberOfBooks
Mathematics For Rwandan Schools,"Eastone Ndyabasa, Fred Angoli, Daniel Gitu",Senior one,english,mathematics,54
Mathematics For Rwandan Schools,"Eastone Ndyabasa, Fred Angoli, Daniel Gitu",senior two,english,mathematics,34
Mathematics For Rwandan Schools,"Israel Irankunda, Emmanuel Ndoriyobijya",senior four,english,mathematics,57
Advanced Mathematics For Rwandan Schools,"Ngezahayo Emmanuel, Icyingneye Pacifique",senior five,english,mathematics,65
